증권사,티커(코드),종목명,잔고수량,현재가,평균매입가,평가손익,수익률,평가 금액,매입 금액,수수료,세금,자산 분류,마켓,통화
신한금융투자,,KRX금현물,6,"201,250원","150,360원","305,340원",33.85%,"1,207,500원","902,160원",,,gold,korea,won
신한금융투자(예),,현금성자산(달러),,,,,,"4,681,244원",,,,cash,us,usd
미래에셋IRPm,088980,맥쿼리인프라,36,"11,730원","13,550원","-66,593원",-13.65%,"422,280원","487,800원",17원,"1,056원",korea_stock,korea,won
미래에셋IRPm(예),,대신저축은행 예금,,,,"15,116원",1.46%,"1,048,799원","1,033,683원",,,bond,korea,won
미래에셋IRPm(예),,바로저축은행 예금,,,,"18,201원",0.50%,"3,694,724원","3,676,523원",,,bond,korea,won
미래에셋IRPm(예),,미래에셋 중위험 포트폴리오1,,,,"67,372원",1.05%,"6,495,062원","6,427,690원",,,fund,korea,won
미래에셋IRPm(예),,현금성자산,,,,,,"3,000,000원","3,000,000원",,,cash,korea,won
미래에셋연금저축m,402970,ACE 미국배당다우존스,30,"13,005원","11,093원","56,369원",16.94%,"390,150원","332,790원",16원,975원,etf,korea,won
미래에셋연금저축m,,미래에셋TDF2035혼합자산투자신탁,,,,,,"4,000,000원","4,000,000원",,,fund,korea,won
미래에셋연금저축m(예),,현금성자산,,,,,,"1,700,000원","1,700,000원",,,cash,korea,won
미래에셋연금저축m(예),,Plus신종 개인용 MMF2호,,,,,,"5,000,000원","5,000,000원",,,bond,korea,won
미래에셋연금저축m(예),,미래에셋솔로몬장기국공채,,,,,,"3,000,000원","3,000,000원",,,bond,korea,won
